nodes,density,time,G's edges,H's edges
100,0.1,0.3671631813,478,477
100,0.5,0.4101424217,2454,1503
100,0.8,0.47824049,3929,2062
200,0.1,3.095684767,1949,1903
200,0.5,3.7186625,9976,4395
200,0.8,4.242023945,15919,6784
300,0.1,11.43094563,4462,4087
300,0.5,11.85331845,22402,8587
300,0.8,11.91532326,35961,12712
400,0.1,27.92087293,8004,6920
400,0.5,28.00507379,39947,13473
400,0.8,26.72124791,63775,20015
500,0.1,52.69063187,12444,10165
500,0.5,51.60797429,62326,19655
500,0.8,52.78244543,99743,28847
600,0.1,83.59186077,17947,13378
600,0.5,87.04269719,89702,25688
600,0.8,93.63259792,143735,38165
700,0.1,133.9775229,24563,16839
700,0.5,139.7675686,122249,32385
700,0.8,146.4229636,195506,49233
800,0.1,198.8773551,32090,21040
800,0.5,211.9497941,159791,40528
800,0.8,220.0780046,255357,60381
900,0.1,286.7460816,40473,25054
900,0.5,313.5106099,201879,48576
900,0.8,302.1978774,323427,72471
1000,0.1,392.0177436,50038,29456
1000,0.5,415.6313202,249328,57162
1000,0.8,415.6322205,399318,84862
1100,0.1,510.7924645,60412,33585
1100,0.5,7374.995415,301854,66104
1100,0.8,1627.958455,483195,98479
1200,0.1,1968.724262,71828,38500
1200,0.5,2231.308096,359372,75343
1200,0.8,3028.885552,575215,112726
1300,0.1,2484.792629,84107,42149
1300,0.5,1596.885023,421796,84617
1300,0.8,906.4175775,675380,127775
1400,0.1,1070.875536,97771,47278
1400,0.5,1179.114936,488974,95895
1400,0.8,1116.871114,783613,144243
1500,0.1,1335.118292,112349,53725
1500,0.5,4177.546695,561528,105560
1500,0.8,1541.799665,899751,160688
1600,0.1,1759.271347,127868,57477
1600,0.5,1715.618212,639191,117958
1600,0.8,1771.319243,1023952,177771
1700,0.1,1941.923977,144372,63653
1700,0.5,1819.352783,722102,127624
1700,0.8,1885.142791,1155944,194545
1800,0.1,2230.690506,161982,67962
1800,0.5,2155.689206,809519,140266
1800,0.8,2223.42526,1296134,212853
1900,0.1,2543.54267,180143,74069
1900,0.5,2525.827083,902421,152921
1900,0.8,2622.120502,1444011,230900
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
